RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent,Play.Comments1
58,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 058",58,2,3,13,2,-24,TY,TREY,GUN FAR,OPTION BOUNCE STR,,FLOOD,NKL OVER 1,R,1,4,,,,,,,,,SHIFT,TUG C,,,,,,OVER,,,1,MF,,,,,,,NW,
59,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 059",59,3,2,13,3,-25,TY,EMPTY BUNCH,EMPTY GUN,,SLANTS,QCK,NKL OVER PRESS 1,P,0,4,,,I,,,,,,,,SPACING,,,,,OVER,,,1 PRESS,MF,,,,,,,NW,
60,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 060",60,1,5,14,1,5,DC,TRIPLES,GUN NEAR,BOUNCE STR,,SPLIT,OVER T-SPEAR,R,1,4,,,,,,,,U-OFF,,TUG C,,,,,,,,SPEAR,,T-ZP,,,,,,,NW,
61,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 061",61,2,4,14,2,4,DC,DETROIT WING,GUN FAR,BELLY WK,,FLOOD,OVER T-SPEAR,R,0,4,,,,,,,,,,,,,,,,,,SPEAR,,T-ZP,,,,,,,NW,
62,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 062",62,3,4,14,3,4,DC,TRIPLES,GUN NEAR,OPTION COUNTER,,SPLIT,OVER T-1,R,4,4,,,,,,,,U-OFF,,TUG C,,,,,,OVER,,,1-T,T-MF,,,,,,,NW,
63,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 063",63,1,10,15,1,-26,TY,TRIPLES BUNCH,GUN FAR,,BEAR PASS,QCK,NKL WHACK,P,0,4,,,I,,,,,,,OPTION FLOOD,,,,,,,,WHACK,,ZP,,,,,,,NW,
64,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 064",64,2,10,15,2,-26,DC,DETROIT WING,GUN FAR,OPTION FLOOD HAWK,,FLOOD,OVER NOTE 1,R,3,4,,,,,,,,,,,,,,,,OVER,NOTE,,1,MF,,,,,,,NW,
65,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 065",65,3,7,15,3,-29,TY,TREY,GUN FAR,OPTION BOUNCE STR,,FLOOD,NKL STORM,R,10,4,,,,,,,,,,TUG C,,,,,,,,STORM,,ZP,,,,,,,NW,
66,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 066",66,1,10,15,4,-39,TY,TRIPS,GUN NEAR,BOUNCE STR,,FLOW,NKL OVER NOTE 1,R,16,4,,,,,,,,,,U WIPE T,,,,,,OVER,NOTE,,1,MF,,,,,,,NW,
67,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 067",67,1,10,15,5,45,TY,TRIPS,GUN FAR,OPTION BOUNCE STR,,FLOP,NKL UNDER NOTE 10,R,-2,4,,,,,,,,,,WIPE T,,,,,,UNDER,NOTE,,1,MF,,,,,,,NW,
68,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 068",68,2,12,15,6,47,TY,TRIPS,GUN NEAR,BOUNCE STR,,FLOW,NKL OVER NOTE 3,R,0,4,,,,,,,,,,U WIPE T,,,,,,OVER,NOTE,,3,Z3,,,,,,,NW,
69,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 069",69,3,12,15,7,47,DC,TRIPLES,GUN NEAR,OPTION BOUNCE WK,,SPLIT,NKL OVER STUD 2,R,-2,4,,,,,,,,,,WIPE O,,,,,,OVER,STUD,,2,Z2,NKL GREEN 2,,,,,,NW,
70,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 070",70,1,10,16,1,-8,DC,TRIPLES,GUN FAR,BELLY WK,,FLOOD,OVER NOTE 1,R,7,4,,,,,,,,U-OFF,,,,,,,,OVER,NOTE,,1,MF,,,,,,,NW,
71,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 071",71,2,3,16,2,-15,DC,TRIPLES,GUN FAR,BELLY WK,,FLOOD,OVER NOTE 1,R,3,4,,,,,,,,U-OFF,,,,,,,,OVER,NOTE,,1,MF,,,,,,,NW,
72,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 072",72,1,10,16,3,-18,DC,TRIPLES,GUN FAR,BELLY WK,,FLOOD,OVER BLITZ 1,R,2,4,,,,,,,,U-OFF,,,,,,,,OVER,,BLITZ,1,MF,,,,,,,NW,
73,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 073",73,2,8,16,4,-20,,,,KNEEL DOWN,,,,,-2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,NW,
