RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
24,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 024",24,2,7,6,9,37,RG,DEUCE,DOT,BOUNCE STR,,SPLIT,OVER 1,R,,2,,,,,,,,,,TUG C,,,,,,OVER,,,1,MF,,,,HO,,,MINN
25,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 025",25,2,17,6,10,47,TY,TRIPS YLW,PIST DOT,FLOP RUN,,FLOP,NKL OVER STICK 2,R,2,2,,,,,,,,,,,,,,,,OVER,STICK,,2,Z2,,,,,,,MINN
26,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 026",26,3,15,6,11,45,TY,TITE STACK,GUN NEAR,,FALCON,DBP,NKL GREEN 2,P,0,2,,,I,,,,,Y-OFF,,,DENVER,,,,,GREEN,,,2,Z2,,,,,,,MINN
27,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 027",27,1,10,7,1,-10,TR,TRIO,PIST I NR,COUNTER OF WK,,FLOOD,NKL UNDER 10,R,11,2,,,,,,,,,,,,,,,,UNDER,,,10,MF,,,,,,,MINN
28,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 028",28,1,10,7,2,-21,TY,TREY,PIST DOT,BOUNCE STR,,SPLIT,NKL OVER 1,R,6,2,,,,,,,,,,TUG C,,,,,,OVER,,,1,MF,,,,,,,MINN
29,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 029",29,2,4,7,3,-27,TY,TREY YLW,PIST DOT,COUNTER OY WK,,SPLIT,NKL DART,R,8,2,,,,,,,,,,,,,,,,,,DART,,ZP,,,,,,,MINN
30,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 030",30,1,10,7,4,-35,TY,TREY,PIST DOT,BOUNCE STR,,SPLIT,NKL UNDER 10,R,-3,2,,,,,,,,,,U WIPE,,,,,,UNDER,,,10,MF,,,,,,,MINN
31,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 031",31,2,13,7,5,-32,TY,TRIPS YLW,DOT,FLOP RUN,,FLOP,NKL OVER STAB SKY 2,R,-1,2,,,,,,,,,,,,,,,,OVER,STAB,,2 SKY,Z2,,,,,,,MINN
32,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 032",32,3,14,7,6,-31,TY,TREY YLW,GUN NEAR,,SCREEN RB,DBP,NKL WOLF,P,12,2,,,C,,,,,,,,,,,,,,,WOLF,,ZP,,,,,,,MINN
33,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 033",33,1,10,8,1,49,RG,PRO,I,POWER O WK,,FLOOD,OVER 1,R,3,3,,,,,,,,,,,,,,,,OVER,,,1,MF,,,,,,,MINN
34,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 034",34,2,7,8,2,46,RG,DEUCE,DOT,,DRAGON,PFLOOD,OVER BLITZ 1,P,0,3,,,I,,,,,,,,DRAGON,,,,,OVER,,BLITZ 1,1,MP,,,,,,,MINN
35,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 035",35,3,7,8,3,46,TY,TRIPS BUNCH,GUN FAR,,TRAIL ROUTE,DBP,NKL GOPHER FREE,P,35,3,,,C,,,TITE STACK,ZOOM,,,,COMEBACK,,,,,,,GOPHER,1,MP,,,,,,,MINN
36,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 036",36,1,10,8,4,11,TY,TREY,GUN NEAR,QB POWER O,,SPLIT,NKL OVER T-1,R,2,3,,,,,,,W-JET,,,,,,,,,OVER,,,1-T,T-MF,,,,,,,MINN
37,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 037",37,2,8,8,5,9,RG,PRO YLW,PIST I FR,COUNTER OY WK,,SPLIT,OVER T-1,R,9,3,,,,,,,,Y-OFF,,,,,,,,OVER,,,1-T,T-MF,,,,,,,MINN
38,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 038",38,1,10,9,1,42,TY,TREY,GUN FAR,,CHINA CORNER,DBP,NKL DART,P,0,3,,,I,,,,,FLIP,,,SLANTS,,,,,,,DART,,ZP,,,,,,,MINN
39,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 039",39,2,10,9,2,42,RG,SLOT,I,LEAD WK,,FLOOD,OVER 2,R,2,3,,,,,,PRO,ZOOM,,,,,,,,,OVER,,,2,Z2,,,,,,,MINN
40,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 040",40,3,8,9,3,40,TY,TRIPLES,GUN NEAR,,BINGO OUT,DBP,NKL GREEN 2,P,3,3,,,C,,,TREY,W-PEEL,,,,,,,,,GREEN,,,2,Z2,,,,,,,MINN
41,"1608 IL DEF VS MN 10-29-16 SS IC_Clean, Play 041",41,4,5,9,4,37,TY,TREY YLW,GUN NEAR,,DENVER,DBP,NKL PRESS NOSE 2,P,0,3,,,I,,,,,FLIP,,,DRAGON,,,,,OVER,,,2 PRESS NOSE,Z2,,,,,,,MINN
